Player,Tm,Tm_name,Opp,Opp_name,points_rolling_avg,assists_rolling_avg,rebounds_rolling_avg,points_last_game,assists_last_game,rebounds_last_game,Home,Tm,Opp,rest_days,opp_avg_PTS_allowed,opp_avg_TRB_allowed,opp_avg_AST_allowed,matchup_pts,matchup_reb,matchup_ast
A.J. Green,16,MIL,0,ATL,6.0,1.2,2.4,8.0,1.0,2.0,1,16,0,2.0,11.310786106032907,4.255941499085923,2.7239488117001827,9.0,1.0,1.0
A.J. Lawson,27,TOR,21,ORL,2.75,0.0,0.75,0.0,0.0,1.0,1,27,21,21.0,9.648275862068965,3.7982758620689654,2.0913793103448275,2.75,0.75,0.0
AJ Johnson,29,WAS,5,CLE,3.6,1.4,1.4,13.0,4.0,4.0,1,29,5,4.0,10.353463587921848,4.017761989342806,2.3658969804618115,2.4444444444444446,1.0,1.2222222222222223
Aaron Gordon,7,DEN,21,ORL,9.0,4.4,3.6,7.0,12.0,4.0,1,7,21,1.0,4.4,3.2,0.4,9.0,4.0,0.0
Aaron Holiday,10,HOU,2,BRK,6.2,1.2,1.2,15.0,0.0,2.0,1,10,2,1.0,8.6,2.4,1.0,3.0,0.0,1.0
Aaron Nesmith,11,IND,12,LAC,8.0,1.8,3.4,5.0,2.0,0.0,1,11,12,2.0,10.2,2.8,2.4,8.2,3.3333333333333335,1.2666666666666666
Aaron Wiggins,20,OKC,27,TOR,15.4,1.8,4.8,17.0,1.0,6.0,1,20,27,2.0,7.4,3.6,2.6,12.0,3.0,2.0
Adam Flagler,20,OKC,27,TOR,1.8,0.0,0.4,7.0,0.0,0.0,1,20,27,2.0,9.8,3.6,2.6,0.0,1.0,0.0
Adama Sanogo,3,CHI,4,CHO,2.0,0.25,1.5,2.0,0.0,1.0,1,3,4,32.0,8.8,3.2,0.8,2.0,1.5,0.25
Adem Bona,22,PHI,8,DET,4.4,0.4,3.8,11.0,0.0,5.0,1,22,8,2.0,4.0,2.2,0.4,4.0,5.0,0.0
Ajay Mitchell,20,OKC,19,NYK,10.0,2.0,2.4,11.0,3.0,2.0,1,20,19,1.0,6.6,3.6,0.6,6.428571428571429,1.9714285714285715,1.6857142857142857
Al Horford,1,BOS,6,DAL,5.4,1.0,5.2,13.0,2.0,10.0,1,1,6,2.0,2.2,1.8,1.2,4.0,6.0,1.0
Alec Burks,15,MIA,3,CHI,2.8,1.0,1.8,0.0,0.0,0.0,1,15,3,14.0,4.0,4.2,1.8,5.730769230769231,2.076923076923077,1.0769230769230769
Alex Caruso,20,OKC,27,TOR,4.6,2.8,2.2,5.0,2.0,1.0,1,20,27,2.0,4.8,3.0,1.8,8.0,4.0,2.0
Alex Ducas,20,OKC,27,TOR,3.4,0.0,2.2,0.0,0.0,2.0,1,20,27,2.0,7.2,3.0,1.8,1.5384615384615385,1.0,0.07692307692307693
Alex Len,25,SAC,21,ORL,0.8,0.8,1.4,0.0,1.0,0.0,1,25,21,7.0,9.0,3.6,2.0,1.4444444444444444,1.7777777777777777,0.8333333333333334
Alex Reese,20,OKC,0,ATL,0.0,0.4,0.6,0.0,0.0,0.0,1,20,0,3.0,4.4,2.0,1.0,2.0,1.0,0.0
Alex Sarr,29,WAS,6,DAL,10.4,2.0,7.6,11.0,3.0,6.0,1,29,6,2.0,7.0,5.2,2.2,11.0,8.0,0.0
Alondes Williams,8,DET,21,ORL,9.0,1.8,6.2,0.0,0.0,0.0,1,8,21,3.0,8.4,2.4,2.0,5.0,0.0,1.0
