points_rolling_avg,assists_rolling_avg,rebounds_rolling_avg,points_last_game,assists_last_game,rebounds_last_game,Home,Tm,Opp,rest_days,opp_avg_PTS_allowed,opp_avg_TRB_allowed,opp_avg_AST_allowed,matchup_pts,matchup_reb,matchup_ast
15.6,4.2,2.6,0.0,5.0,1.0,1,24,10,2.0,14.2,3.8,1.4,25.0,4.0,3.0
3.4,1.8,1.0,9.0,3.0,2.0,1,5,17,2.0,8.0,3.6,2.0,7.1395348837209305,1.9069767441860466,1.5813953488372092
0.0,0.6,0.2,0.0,0.0,0.0,1,17,5,12.0,8.0,3.8,2.0,0.8333333333333334,0.3333333333333333,1.0833333333333333
11.0,2.4,4.2,0.0,2.0,1.0,1,24,10,2.0,8.4,3.2,2.6,5.0,5.0,1.0
16.6,8.8,2.4,17.0,8.0,4.0,1,11,22,2.0,21.4,4.0,5.0,32.0,3.0,11.0
30.4,7.8,3.8,33.0,6.0,6.0,1,22,11,3.0,16.4,2.4,1.4,22.0,3.0,2.0
24.6,8.6,5.4,20.0,9.0,4.0,1,8,23,2.0,15.4,1.6,4.6,28.0,1.0,13.0
9.4,1.6,3.2,10.0,3.0,2.0,1,22,11,3.0,5.2,2.4,1.0,8.090909090909092,3.090909090909091,1.4090909090909092
6.6,2.4,6.8,4.0,6.0,5.0,1,9,29,3.0,8.0,4.6,2.0,4.0,10.0,2.0
9.6,0.8,8.4,11.0,1.0,10.0,1,0,1,3.0,7.8,5.4,0.8,18.0,9.0,1.0
10.4,3.2,2.6,12.0,4.0,3.0,1,5,17,2.0,4.8,6.0,1.6,11.285714285714286,2.4693877551020407,3.3877551020408165
10.6,4.2,4.8,9.0,4.0,6.0,1,1,0,1.0,6.4,2.6,2.4,8.0,3.0,7.0
12.0,1.6,6.8,10.0,2.0,8.0,1,17,5,1.0,14.6,2.6,2.0,10.98076923076923,5.480769230769231,1.7115384615384615
14.6,3.2,4.0,18.0,0.0,1.0,1,9,29,3.0,13.4,2.4,2.0,20.0,5.0,2.0
14.4,1.8,5.8,16.0,1.0,10.0,1,22,11,3.0,12.8,5.6,1.0,16.842105263157894,7.842105263157895,2.4210526315789473
3.2,0.2,0.6,9.0,1.0,0.0,1,10,24,3.0,6.0,3.0,1.2,2.6666666666666665,0.5,0.16666666666666666
18.2,4.8,2.6,16.0,6.0,2.0,1,24,10,2.0,8.8,5.6,1.6,12.555555555555555,3.066666666666667,5.355555555555555
6.8,1.6,3.6,9.0,2.0,4.0,1,23,8,2.0,7.2,2.4,1.0,11.0,3.0,1.0
10.0,1.4,9.4,11.0,1.0,8.0,1,29,9,2.0,6.2,2.8,2.0,16.0,12.0,7.0
6.0,1.4,2.0,7.0,3.0,1.0,1,22,11,3.0,16.2,6.0,2.8,3.5652173913043477,1.173913043478261,1.434782608695652
28.2,11.0,2.2,43.0,5.0,3.0,1,0,1,4.0,11.4,5.0,2.8,2.0,0.0,6.0
1.8,0.8,6.0,5.0,2.0,5.0,1,10,24,2.0,8.4,3.4,4.8,1.0,1.0,3.0
1.0,0.6,0.6,5.0,1.0,2.0,1,24,10,2.0,9.4,2.4,1.2,0.0,1.0,0.0
10.8,3.6,4.4,5.0,5.0,5.0,1,29,9,2.0,6.6,2.8,1.4,15.090909090909092,5.818181818181818,2.4242424242424243
13.4,1.0,3.2,9.0,3.0,3.0,1,10,24,2.0,3.4,1.2,1.4,9.9375,3.21875,0.8125
3.6,0.6,5.2,6.0,0.0,4.0,1,22,11,14.0,13.4,8.0,0.6,7.0,8.0,0.0
10.2,1.8,8.6,11.0,1.0,6.0,1,17,5,1.0,5.8,3.6,1.0,10.711538461538462,10.384615384615385,1.8269230769230769
5.2,1.0,2.0,6.0,1.0,4.0,1,10,24,3.0,8.0,4.2,1.2,1.0,4.0,0.0
7.2,6.2,2.0,9.0,10.0,3.0,1,23,8,2.0,23.6,4.0,5.2,19.0,0.0,2.0
25.6,4.6,8.6,30.0,4.0,6.0,1,1,0,1.0,13.6,4.4,3.6,20.0,6.0,8.0
5.0,2.4,5.8,2.0,4.0,13.0,1,8,23,2.0,10.4,3.8,5.6,5.659574468085107,5.808510638297872,1.702127659574468
6.8,6.4,2.8,2.0,5.0,5.0,1,11,22,2.0,14.0,4.0,3.8,11.0,2.0,4.0
26.2,4.2,6.2,31.0,8.0,1.0,1,9,29,3.0,14.2,3.0,4.4,24.0,3.0,6.0
1.6,0.6,4.4,4.0,2.0,7.0,1,24,10,2.0,7.4,4.6,1.6,7.0,6.0,0.0
1.625,0.125,0.125,0.0,0.0,0.0,1,24,10,7.0,10.4,4.0,0.4,1.625,0.125,0.125
6.0,0.8,2.6,8.0,1.0,1.0,1,1,0,1.0,7.0,1.8,0.4,6.0,2.0,0.0
5.8,2.2,3.8,5.0,3.0,7.0,1,9,29,3.0,20.4,8.2,3.6,4.0,2.576923076923077,1.1538461538461537
10.6,1.2,4.2,9.0,0.0,1.0,1,11,22,2.0,8.6,2.0,1.4,10.0,7.0,1.0
8.8,3.8,3.4,9.0,3.0,3.0,1,5,17,2.0,10.4,2.4,2.0,10.210526315789474,2.8157894736842106,3.6842105263157894
2.0,0.2,1.6,2.0,1.0,6.0,1,24,10,2.0,21.4,2.0,2.8,0.0,2.0,2.0
11.2,2.8,2.2,14.0,5.0,3.0,1,29,9,2.0,14.8,3.0,1.8,4.0,5.0,1.0
0.8333333333333334,0.16666666666666666,0.5,2.0,0.0,0.0,1,11,22,4.0,5.2,2.6,1.2,0.8333333333333334,0.5,0.16666666666666666
16.6,2.8,10.2,13.0,0.0,7.0,1,5,17,2.0,14.2,4.4,0.6,13.615384615384615,10.288461538461538,2.019230769230769
6.8,1.8,3.0,9.0,1.0,4.0,1,24,10,2.0,10.0,2.4,2.6,7.0,1.0,1.0
9.8,2.4,3.4,14.0,3.0,8.0,1,24,10,21.0,13.2,3.6,3.8,22.0,3.0,2.0
6.4,1.2,2.4,4.0,0.0,0.0,1,8,23,2.0,4.0,1.6,1.0,4.0,3.0,1.0
7.6,0.8,3.2,5.0,0.0,2.0,1,8,23,2.0,19.8,3.4,3.2,10.0,1.0,0.0
25.8,5.6,5.8,23.0,3.0,6.0,1,23,8,2.0,12.6,2.0,2.2,43.0,5.0,6.0
0.8,1.0,1.8,0.0,1.0,1.0,1,10,24,3.0,4.6,1.0,1.4,8.0,0.0,0.0
0.4,0.0,0.4,0.0,0.0,0.0,1,11,22,4.0,9.8,4.0,1.2,3.0,1.0,1.0
11.4,2.6,3.0,24.0,4.0,4.0,1,29,9,2.0,17.2,3.6,4.4,20.0,6.0,4.0
8.8,2.4,6.0,8.0,3.0,7.0,1,8,23,2.0,23.0,8.6,4.0,4.0,2.0,1.0
19.0,1.6,3.8,24.0,2.0,5.0,1,9,29,3.0,5.6,4.6,2.0,5.0,4.0,2.0
2.2,0.4,2.8,2.0,0.0,6.0,1,22,11,3.0,10.58011049723757,4.121546961325967,2.410681399631676,3.0,2.8333333333333335,0.3055555555555556
